k                  xn                  xn+1               epsilon_a
   1       -20.00000000000       -13.29422997132        50.44120677276
   2       -13.29422997132       -10.53915753597        26.14129664493
   3       -10.53915753597        -7.94256163890        32.69217180954
   4        -7.94256163890        -6.03235334493        31.66605443587
   5        -6.03235334493        -4.74166074790        27.22026449505
   6        -4.74166074790        -3.74790802050        26.51486434468
   7        -3.74790802050        -2.96100019788        26.57574366876
   8        -2.96100019788        -2.46460275925        20.14107290782
   9        -2.46460275925        -2.14174311907        15.07462016810
  10        -2.14174311907        -1.96709667462         8.87838644165
  11        -1.96709667462        -1.89891827668         3.59038083826
  12        -1.89891827668        -1.88502827499         0.73685906324
  13        -1.88502827499        -1.88406820194         0.05095744694
  14        -1.88406820194        -1.88405630716         0.00063133884
